family,level_order,level_title,grade,short_name
Account Management,1,Account Manager I,03 - 5C,AM I
Account Management,2,Account Manager II,03 - 6C,AM II
Account Management,3,Sr Account Manager,03 - 7C,Sr AM
Account Management,4,Lead Account Manager,04 - 8C,Lead
Account Management,5,Principal Account Manager,04 - 9C,Principal
Accounting,1,Accountant I,03 - 5C,Acct I
Accounting,2,Accountant II,03 - 6C,Acct II
Accounting,3,Sr Accountant,03 - 7C,Sr Acct
Accounting,4,Lead Accountant,04 - 8C,Lead
Accounting,5,Accounting Manager,04 - 9C,Manager
